time;P
20230117:1510;180.7
20230117:1610;0.0
20230117:1710;0.0
20230117:1810;0.0
20230117:1910;0.0
20230117:2010;0.0
20230117:2110;0.0
20230117:2210;0.0
20230117:2310;0.0
20230118:0010;0.0
20230118:0110;0.0
20230118:0210;0.0
20230118:0310;0.0
20230118:0410;0.0
20230118:0510;0.0
20230118:0610;0.0
20230118:0710;0.0
20230118:0810;593.1
20230118:0910;874.0999999999999
20230118:1010;858.1
20230118:1110;1023.1999999999999
20230118:1210;953.1999999999999
20230118:1310;831.8000000000001
20230118:1410;656.8000000000001
20230118:1510;270.59999999999997
20230118:1610;0.0
20230118:1710;0.0
20230118:1810;0.0
20230118:1910;0.0
20230118:2010;0.0
20230118:2110;0.0
20230118:2210;0.0
20230118:2310;0.0
20230119:0010;0.0
20230119:0110;0.0
20230119:0210;0.0
20230119:0310;0.0
20230119:0410;0.0
20230119:0510;0.0
20230119:0610;0.0
20230119:0710;0.0
20230119:0810;327.70000000000005
20230119:0910;5421.799999999999
20230119:1010;5609.2
20230119:1110;5859.6
20230119:1210;5956.3
20230119:1310;6493.3
20230119:1410;5116.4
20230119:1510;321.70000000000005
20230119:1610;0.0
20230119:1710;0.0
20230119:1810;0.0
20230119:1910;0.0
20230119:2010;0.0
20230119:2110;0.0
20230119:2210;0.0
20230119:2310;0.0
20230120:0010;0.0
20230120:0110;0.0
20230120:0210;0.0
20230120:0310;0.0
20230120:0410;0.0
20230120:0510;0.0
20230120:0610;0.0
20230120:0710;0.0
20230120:0810;3310.5
20230120:0910;5700.1
20230120:1010;6824.5
20230120:1110;6851.0
20230120:1210;7316.799999999999
20230120:1310;6831.5
20230120:1410;5451.2
20230120:1510;117.2
20230120:1610;0.0
20230120:1710;0.0
20230120:1810;0.0
20230120:1910;0.0
20230120:2010;0.0
20230120:2110;0.0
20230120:2210;0.0
20230120:2310;0.0
20230121:0010;0.0
20230121:0110;0.0
20230121:0210;0.0
20230121:0310;0.0
20230121:0410;0.0
20230121:0510;0.0
20230121:0610;0.0
20230121:0710;0.0
20230121:0810;3796.1000000000004
20230121:0910;4529.5
20230121:1010;7405.5
20230121:1110;7370.700000000001
20230121:1210;7331.4
20230121:1310;4482.099999999999
20230121:1410;5657.5
20230121:1510;264.1
20230121:1610;0.0
20230121:1710;0.0
20230121:1810;0.0
20230121:1910;0.0
20230121:2010;0.0
20230121:2110;0.0
20230121:2210;0.0
20230121:2310;0.0
20230122:0010;0.0
20230122:0110;0.0
20230122:0210;0.0
20230122:0310;0.0
20230122:0410;0.0
20230122:0510;0.0
20230122:0610;0.0
20230122:0710;0.0
20230122:0810;560.6
20230122:0910;1450.2
20230122:1010;1656.0
20230122:1110;2371.3999999999996
20230122:1210;4880.7
20230122:1310;4479.700000000001
20230122:1410;5746.3
20230122:1510;345.09999999999997
20230122:1610;0.0
20230122:1710;0.0
20230122:1810;0.0
20230122:1910;0.0
20230122:2010;0.0
20230122:2110;0.0
20230122:2210;0.0
20230122:2310;0.0
20230123:0010;0.0
20230123:0110;0.0
20230123:0210;0.0
20230123:0310;0.0
20230123:0410;0.0
20230123:0510;0.0
20230123:0610;0.0
20230123:0710;0.0
20230123:0810;155.6
20230123:0910;884.5999999999999
20230123:1010;574.6
20230123:1110;1020.9000000000001
20230123:1210;541.1999999999999
20230123:1310;629.0999999999999
20230123:1410;259.9
20230123:1510;150.7
20230123:1610;0.0
20230123:1710;0.0
20230123:1810;0.0
20230123:1910;0.0
20230123:2010;0.0
20230123:2110;0.0
20230123:2210;0.0
20230123:2310;0.0
20230124:0010;0.0
20230124:0110;0.0
20230124:0210;0.0
20230124:0310;0.0
20230124:0410;0.0
20230124:0510;0.0
20230124:0610;0.0
20230124:0710;0.0
20230124:0810;553.0
20230124:0910;1564.1999999999998
20230124:1010;485.09999999999997
20230124:1110;823.8
20230124:1210;1657.7
20230124:1310;1816.3999999999999
20230124:1410;5198.8
20230124:1510;3437.7999999999997
20230124:1610;0.0
20230124:1710;0.0
20230124:1810;0.0
20230124:1910;0.0
20230124:2010;0.0
20230124:2110;0.0
20230124:2210;0.0
20230124:2310;0.0
20230125:0010;0.0
20230125:0110;0.0
20230125:0210;0.0
20230125:0310;0.0
20230125:0410;0.0
20230125:0510;0.0
20230125:0610;0.0
20230125:0710;0.0
20230125:0810;1503.8999999999999
20230125:0910;3941.3
20230125:1010;6912.200000000001
20230125:1110;2305.7
20230125:1210;3416.3999999999996
20230125:1310;4992.200000000001
20230125:1410;5121.7
20230125:1510;3360.4
20230125:1610;0.0
20230125:1710;0.0
20230125:1810;0.0
20230125:1910;0.0
20230125:2010;0.0
20230125:2110;0.0
20230125:2210;0.0
20230125:2310;0.0
20230126:0010;0.0
20230126:0110;0.0
20230126:0210;0.0
20230126:0310;0.0
20230126:0410;0.0
20230126:0510;0.0
20230126:0610;0.0
20230126:0710;0.0
20230126:0810;616.3000000000001
20230126:0910;1178.4
20230126:1010;1109.8999999999999
20230126:1110;5153.0
20230126:1210;5223.3
20230126:1310;2549.4
20230126:1410;3573.2
20230126:1510;3596.7000000000003
20230126:1610;0.0
20230126:1710;0.0
20230126:1810;0.0
20230126:1910;0.0
20230126:2010;0.0
20230126:2110;0.0
20230126:2210;0.0
20230126:2310;0.0
20230127:0010;0.0
20230127:0110;0.0
20230127:0210;0.0
20230127:0310;0.0
20230127:0410;0.0
20230127:0510;0.0
20230127:0610;0.0
20230127:0710;0.0
20230127:0810;498.40000000000003
20230127:0910;560.8
