time;P
20230121:0510;0.0
20230121:0610;0.0
20230121:0710;0.0
20230121:0810;379.61
20230121:0910;452.95
20230121:1010;740.55
20230121:1110;737.07
20230121:1210;733.14
20230121:1310;448.21
20230121:1410;565.75
20230121:1510;26.41
20230121:1610;0.0
20230121:1710;0.0
20230121:1810;0.0
20230121:1910;0.0
20230121:2010;0.0
20230121:2110;0.0
20230121:2210;0.0
20230121:2310;0.0
20230122:0010;0.0
20230122:0110;0.0
20230122:0210;0.0
20230122:0310;0.0
20230122:0410;0.0
20230122:0510;0.0
20230122:0610;0.0
20230122:0710;0.0
20230122:0810;56.06
20230122:0910;145.02
20230122:1010;165.6
20230122:1110;237.14
20230122:1210;488.07
20230122:1310;447.97
20230122:1410;574.63
20230122:1510;34.51
20230122:1610;0.0
20230122:1710;0.0
20230122:1810;0.0
20230122:1910;0.0
20230122:2010;0.0
20230122:2110;0.0
20230122:2210;0.0
20230122:2310;0.0
20230123:0010;0.0
20230123:0110;0.0
20230123:0210;0.0
20230123:0310;0.0
20230123:0410;0.0
20230123:0510;0.0
20230123:0610;0.0
20230123:0710;0.0
20230123:0810;15.56
20230123:0910;88.46
20230123:1010;57.46
20230123:1110;102.09
20230123:1210;54.12
20230123:1310;62.91
20230123:1410;25.99
20230123:1510;15.07
20230123:1610;0.0
20230123:1710;0.0
20230123:1810;0.0
20230123:1910;0.0
20230123:2010;0.0
20230123:2110;0.0
20230123:2210;0.0
20230123:2310;0.0
20230124:0010;0.0
20230124:0110;0.0
20230124:0210;0.0
20230124:0310;0.0
20230124:0410;0.0
20230124:0510;0.0
20230124:0610;0.0
20230124:0710;0.0
20230124:0810;55.3
20230124:0910;156.42
20230124:1010;48.51
20230124:1110;82.38
20230124:1210;165.77
20230124:1310;181.64
20230124:1410;519.88
20230124:1510;343.78
20230124:1610;0.0
20230124:1710;0.0
20230124:1810;0.0
20230124:1910;0.0
20230124:2010;0.0
20230124:2110;0.0
20230124:2210;0.0
20230124:2310;0.0
20230125:0010;0.0
20230125:0110;0.0
20230125:0210;0.0
20230125:0310;0.0
20230125:0410;0.0
20230125:0510;0.0
20230125:0610;0.0
20230125:0710;0.0
20230125:0810;150.39
20230125:0910;394.13
20230125:1010;691.22
20230125:1110;230.57
20230125:1210;341.64
20230125:1310;499.22
20230125:1410;512.17
20230125:1510;336.04
20230125:1610;0.0
20230125:1710;0.0
20230125:1810;0.0
20230125:1910;0.0
20230125:2010;0.0
20230125:2110;0.0
20230125:2210;0.0
20230125:2310;0.0
20230126:0010;0.0
20230126:0110;0.0
20230126:0210;0.0
20230126:0310;0.0
20230126:0410;0.0
20230126:0510;0.0
20230126:0610;0.0
20230126:0710;0.0
20230126:0810;61.63
20230126:0910;117.84
20230126:1010;110.99
20230126:1110;515.3
20230126:1210;522.33
20230126:1310;254.94
20230126:1410;357.32
20230126:1510;359.67
20230126:1610;0.0
20230126:1710;0.0
20230126:1810;0.0
20230126:1910;0.0
20230126:2010;0.0
20230126:2110;0.0
20230126:2210;0.0
20230126:2310;0.0
20230127:0010;0.0
20230127:0110;0.0
20230127:0210;0.0
20230127:0310;0.0
20230127:0410;0.0
20230127:0510;0.0
20230127:0610;0.0
20230127:0710;0.0
20230127:0810;49.84
20230127:0910;56.08
20230127:1010;73.44
20230127:1110;131.59
20230127:1210;164.61
20230127:1310;105.34
20230127:1410;96.82
20230127:1510;130.94
20230127:1610;0.0
20230127:1710;0.0
20230127:1810;0.0
20230127:1910;0.0
20230127:2010;0.0
20230127:2110;0.0
20230127:2210;0.0
20230127:2310;0.0
20230128:0010;0.0
20230128:0110;0.0
20230128:0210;0.0
20230128:0310;0.0
20230128:0410;0.0
20230128:0510;0.0
20230128:0610;0.0
20230128:0710;0.89
20230128:0810;353.1
20230128:0910;566.09
20230128:1010;682.94
20230128:1110;743.55
20230128:1210;744.96
20230128:1310;680.76
20230128:1410;551.99
20230128:1510;375.56
20230128:1610;0.0
20230128:1710;0.0
20230128:1810;0.0
20230128:1910;0.0
20230128:2010;0.0
20230128:2110;0.0
20230128:2210;0.0
20230128:2310;0.0
20230129:0010;0.0
20230129:0110;0.0
20230129:0210;0.0
20230129:0310;0.0
20230129:0410;0.0
20230129:0510;0.0
20230129:0610;0.0
20230129:0710;0.89
20230129:0810;355.34
20230129:0910;557.24
20230129:1010;675.63
20230129:1110;725.81
20230129:1210;721.38
20230129:1310;654.39
20230129:1410;544.43
20230129:1510;340.57
20230129:1610;0.0
20230129:1710;0.0
20230129:1810;0.0
20230129:1910;0.0
20230129:2010;0.0
20230129:2110;0.0
20230129:2210;0.0
20230129:2310;0.0
20230130:0010;0.0
20230130:0110;0.0
20230130:0210;0.0
20230130:0310;0.0
20230130:0410;0.0
20230130:0510;0.0
20230130:0610;0.0
20230130:0710;0.0
20230130:0810;405.03
20230130:0910;487.58
20230130:1010;676.39
20230130:1110;718.06
20230130:1210;714.23
20230130:1310;655.95
20230130:1410;551.75
20230130:1510;374.45
20230130:1610;0.44
20230130:1710;0.0
20230130:1810;0.0
20230130:1910;0.0
20230130:2010;0.0
20230130:2110;0.0
20230130:2210;0.0
20230130:2310;0.0
20230131:0010;0.0
20230131:0110;0.0
20230131:0210;0.0
20230131:0310;0.0
20230131:0410;0.0
20230131:0510;0.0
20230131:0610;0.0
20230131:0710;1.73
20230131:0810;360.14
20230131:0910;578.43
20230131:1010;692.49
20230131:1110;721.04
20230131:1210;725.74
20230131:1310;647.84
20230131:1410;487.56
20230131:1510;354.52
20230131:1610;1.58
20230131:1710;0.0
20230131:1810;0.0
20230131:1910;0.0
20230131:2010;0.0
20230131:2110;0.0
20230131:2210;0.0
20230131:2310;0.0
