Hour,Date,True_Price,Forecast_Price,PSO_Action,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Action,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
2650,2024-04-20,57.68,57.68,-1.9579168143635293,0.09999999999999998,-0.0,22535.26901306395,-0.06000000000000005,0.09999999999999998,-0.0,9294.423493293738
2651,2024-04-20,32.4,32.4,1.2332058019529994,0.39288637796383735,-39.95586798327718,22495.313145080672,-1.48,0.09999999999999998,-0.0,9294.423493293738
2652,2024-04-20,31.13765,31.13765,2.0,0.8678863779638373,-62.2753,22433.03784508067,-0.30000000000000004,0.09999999999999998,-0.0,9294.423493293738
2653,2024-04-20,32.4,32.4,0.9990996495304196,0.9,-4.380974121985992,22428.656870958686,1.88,0.5465,-60.91199999999999,9233.511493293738
2654,2024-04-20,50.0,50.0,2.0,0.9,-0.0,22428.656870958686,1.9,0.9,-74.42105263157896,9159.09044066216
2655,2024-04-20,87.39158,87.39158,2.0,0.9,-0.0,22428.656870958686,-1.96,0.38421052631578945,171.2874968,9330.377937462159
2656,2024-04-20,98.88711,98.88711,2.0,0.9,-0.0,22428.656870958686,1.94,0.8449605263157894,-191.8409934,9138.53694406216
2657,2024-04-20,108.13,108.13,2.0,0.9,-0.0,22428.656870958686,-1.78,0.3765394736842105,192.4714,9331.00834406216
2658,2024-04-20,128.6,128.6,-2.0,0.37368421052631584,257.2,22685.856870958687,-0.78,0.1712763157894736,100.30799999999999,9431.316344062161
2659,2024-04-20,118.07,118.07,-1.9063056219496304,0.09999999999999998,122.79280000000003,22808.649670958686,-0.5999999999999999,0.1,31.979259499999962,9463.295603562161
2660,2024-04-20,108.09,108.09,-1.496710896285405,0.09999999999999998,-0.0,22808.649670958686,-0.94,0.1,-0.0,9463.295603562161
2661,2024-04-20,101.46,101.46,-1.1753111917916899,0.09999999999999998,-0.0,22808.649670958686,-1.66,0.1,-0.0,9463.295603562161
2662,2024-04-20,100.43,100.43,-2.0,0.09999999999999998,-0.0,22808.649670958686,1.7600000000000002,0.518,-176.75680000000003,9286.538803562162
2663,2024-04-21,102.47,102.47,-0.4346471359095352,0.09999999999999998,-0.0,22808.649670958686,-1.4,0.1495789473684211,143.458,9429.996803562162
2664,2024-04-21,102.43,102.43,-0.3310883825740405,0.09999999999999998,-0.0,22808.649670958686,-1.96,0.1,19.29781200000001,9449.294615562163
2665,2024-04-21,102.4,102.4,-1.9218797431648937,0.09999999999999998,-0.0,22808.649670958686,-1.84,0.1,-0.0,9449.294615562163
2666,2024-04-21,102.27,102.27,-1.9782000329457543,0.09999999999999998,-0.0,22808.649670958686,-1.4,0.1,-0.0,9449.294615562163
2667,2024-04-21,102.27,102.27,-0.26468208707437735,0.09999999999999998,-0.0,22808.649670958686,-1.4,0.1,-0.0,9449.294615562163
2668,2024-04-21,100.43,100.43,-1.3929212486957119,0.09999999999999998,-0.0,22808.649670958686,-1.88,0.1,-0.0,9449.294615562163
2669,2024-04-21,102.27,102.27,-0.24657503661746985,0.09999999999999998,-0.0,22808.649670958686,-1.96,0.1,-0.0,9449.294615562163
2670,2024-04-21,102.3,102.3,-1.6914613450695741,0.09999999999999998,-0.0,22808.649670958686,-1.96,0.1,-0.0,9449.294615562163
2671,2024-04-21,90.0,90.0,-2.0,0.09999999999999998,-0.0,22808.649670958686,-0.11999999999999988,0.1,-0.0,9449.294615562163
2672,2024-04-21,85.0,85.0,-2.0,0.09999999999999998,-0.0,22808.649670958686,-0.8200000000000001,0.1,-0.0,9449.294615562163
2673,2024-04-21,20.0,20.0,-1.8671504971170054,0.09999999999999998,-0.0,22808.649670958686,-1.96,0.1,-0.0,9449.294615562163
2674,2024-04-21,9.65,9.65,-2.0,0.09999999999999998,-0.0,22808.649670958686,-0.30000000000000004,0.1,-0.0,9449.294615562163
2675,2024-04-21,9.65,9.65,-0.34516116909033545,0.09999999999999998,-0.0,22808.649670958686,-0.30000000000000004,0.1,-0.0,9449.294615562163
2676,2024-04-21,4.0,4.0,2.0,0.575,-8.0,22800.649670958686,0.41999999999999993,0.19974999999999998,-1.6799999999999997,9447.614615562163
2677,2024-04-21,5.0,5.0,2.0,0.9,-6.842105263157896,22793.80756569553,0.41999999999999993,0.2995,-2.0999999999999996,9445.514615562162
2678,2024-04-21,28.41458,28.41458,2.0,0.9,-0.0,22793.80756569553,1.9,0.75075,-53.987702,9391.526913562162
2679,2024-04-21,86.45,86.45,1.6699172490696264,0.9,-0.0,22793.80756569553,2.0,0.9,-54.327000000000005,9337.199913562163
2680,2024-04-21,100.43,100.43,1.4991950280266502,0.9,-0.0,22793.80756569553,0.41999999999999993,0.9,-0.0,9337.199913562163
2681,2024-04-21,105.11,105.11,0.9965904694758064,0.9,-0.0,22793.80756569553,-1.78,0.43157894736842106,187.0958,9524.295713562162
2682,2024-04-21,120.0,120.0,-2.0,0.37368421052631584,240.0,23033.80756569553,-1.76,0.09999999999999998,151.2,9675.495713562163
2683,2024-04-21,117.23748,117.23748,-2.0,0.09999999999999998,121.92697920000003,23155.73454489553,-0.78,0.09999999999999998,-0.0,9675.495713562163
2684,2024-04-21,111.01241,111.01241,-0.635284446578874,0.09999999999999998,-0.0,23155.73454489553,-0.76,0.09999999999999998,-0.0,9675.495713562163
