Ora,Prezzo_Vero,Prezzo_Forecast,Errore_Pct,PSO_Azione,PSO_SOC,PSO_Profitto_Cum,PPO_Azione,PPO_SOC,PPO_Profitto_Cum
8079,163.05817,178.5799450199123,9.519164246668721,1.3983976559286262,0.9,-1083.3354213937878,-1.84,0.1,-74658.29421366254
8080,172.9142,146.97707,-15.0,0.47240230885841816,0.9,-1083.3354213937878,1.8200000000000003,0.53225,-74972.99805766254
8081,175.31,201.60649999999998,15.0,0.846968085397362,0.9,-1083.3354213937878,-1.8599999999999999,0.09999999999999998,-74699.44038918754
8082,169.29392,170.14621122616614,0.503438768602036,-1.9250797627052605,0.39340006244598413,-773.7263370197966,1.8200000000000003,0.53225,-75007.55532358754
8083,166.88215,191.9144725,15.0,-1.0831208995980024,0.10836824676229928,-602.0104698066903,-1.8599999999999999,0.09999999999999998,-74747.14866187917
8084,160.14,159.23419509242203,-0.5656331382402652,-1.5698383598791894,0.1,-597.1727411648725,-1.74,0.09999999999999998,-74747.14866187917
8085,145.58396,160.88645686849023,10.511114595653412,1.1831339147823932,0.3809943047608184,-769.4180616891958,1.6,0.48,-74980.08299787917
8086,140.0,143.9349064330143,2.8106474521530647,-1.9033519373145378,0.09999999999999998,-627.4035400630783,1.7000000000000002,0.88375,-75218.08299787917
8087,134.84,150.61891892063076,11.701957075519676,-1.506459524199479,0.09999999999999998,-627.4035400630783,-1.74,0.42585526315789474,-74995.19247787917
8088,129.94,129.07615508259536,-0.6648029224292945,1.9646156694717667,0.5665962214995446,-882.6857001542396,1.8200000000000003,0.8581052631578947,-75231.68327787917
8089,125.6,106.75999999999999,-15.0,-0.8411914374659166,0.345230053745356,-782.3147378358065,-1.7,0.4107368421052631,-75028.83927787917
8090,121.0,102.85,-15.0,1.2245478930840963,0.6360601783528288,-930.4850328989821,1.8200000000000003,0.8429868421052631,-75249.05927787918
8091,123.66,142.20899999999997,15.0,-0.8785670739281715,0.40485831679278367,-827.2736087551223,1.7400000000000002,0.9,-75278.7445288487
8092,123.17,108.04996570298947,-12.275744334667973,-0.24213576684796578,0.34113837814858217,-798.9409394725915,-1.84,0.4157894736842105,-75063.4433688487
8093,124.04,105.434,-15.0,0.6860993707645338,0.504086978705159,-884.0447054222243,1.92,0.8717894736842104,-75301.6001688487
8094,146.89307,124.85910949999999,-15.0,0.5779144435200565,0.6413416590411724,-968.936332228227,-1.84,0.3875789473684209,-75044.8310824887
8095,170.0,144.5,-15.0,1.0653661988474572,0.8943661312674434,-1150.0485860322947,1.92,0.8435789473684209,-75371.2310824887
8096,192.1133,220.930295,15.0,1.9242411003916589,0.9,-1154.6058117753612,-1.84,0.35936842105263134,-75035.41703408869
8097,188.36,216.614,15.0,0.43106142104575085,0.9,-1154.6058117753612,1.94,0.8201184210526313,-75400.83543408869
8098,168.87,194.20049999999998,15.0,0.9443189530929286,0.9,-1154.6058117753612,1.8200000000000003,0.9,-75457.63375929644
8099,162.38,144.1250746312118,-11.24210208694926,0.5062529105951117,0.9,-1154.6058117753612,-1.84,0.4157894736842105,-75173.79351929644
