Ora,Prezzo_Vero,PSO_Azione,PSO_SOC,PSO_Profitto_Istantaneo,PSO_Profitto_Cum,PPO_Azione,PPO_SOC,PPO_Profitto_Istantaneo,PPO_Profitto_Cum
142,103.0,-1.000206263745485,0.1,-0.0,99.99928996186426,-0.06000000000000005,0.1,-0.0,172.3486501473683
143,88.5,-0.04952372531592353,0.1,-0.0,99.99928996186426,-1.18,0.1,-0.0,172.3486501473683
144,96.85,-1.8563537336379747,0.1,-0.0,99.99928996186426,-1.06,0.1,-0.0,172.3486501473683
145,96.58,-0.733962286969275,0.1,-0.0,99.99928996186426,-1.3399999999999999,0.1,-0.0,172.3486501473683
146,93.8,-1.15605320216055,0.1,-0.0,99.99928996186426,-1.56,0.1,-0.0,172.3486501473683
147,93.8,1.6384725062779069,0.4891372202410028,-153.68872108886765,-53.68943112700339,-0.41999999999999993,0.1,-0.0,172.3486501473683
148,85.93,0.49816890922231183,0.6074523361813019,-42.80765436947326,-96.49708549647664,-0.6799999999999999,0.1,-0.0,172.3486501473683
149,84.3,-0.8752897620674691,0.3771129251109153,70.09758059517326,-26.399504901303388,-0.6799999999999999,0.1,-0.0,172.3486501473683
150,85.0,1.58203564367532,0.7528463904838039,-134.4730297124022,-160.87253461370557,-0.15999999999999992,0.1,-0.0,172.3486501473683
151,102.27,1.089676218058631,0.9,-63.36589324303739,-224.23842785674296,-0.15999999999999992,0.1,-0.0,172.3486501473683
152,100.55,1.7150206720725882,0.9,-0.0,-224.23842785674296,-1.04,0.1,-0.0,172.3486501473683
153,101.19,-1.3405355007508302,0.5472274998024131,128.86634795492768,-95.37207990181528,-0.15999999999999992,0.1,-0.0,172.3486501473683
154,96.0,0.44543196308373867,0.6530175910348011,-42.76146845603891,-138.13354835785418,-1.4,0.1,-0.0,172.3486501473683
155,96.0,0.9373279824344793,0.87563298686299,-89.98348631371002,-228.1170346715642,-1.4,0.1,-0.0,172.3486501473683
156,95.65,1.9435169125594691,0.9,-9.813493922336896,-237.9305285939011,-1.4,0.1,-0.0,172.3486501473683
157,88.0,0.6439112569907777,0.9,-0.0,-237.9305285939011,-1.4,0.1,-0.0,172.3486501473683
158,84.34138,0.03219041165658254,0.9,-0.0,-237.9305285939011,-0.06000000000000005,0.1,-0.0,172.3486501473683
159,88.32,0.5293088813213269,0.9,-0.0,-237.9305285939011,-0.06000000000000005,0.1,-0.0,172.3486501473683
160,97.95,1.407657768801108,0.9,-0.0,-237.9305285939011,-1.68,0.1,-0.0,172.3486501473683
161,108.87,0.48119611076698243,0.9,-0.0,-237.9305285939011,-0.06000000000000005,0.1,-0.0,172.3486501473683
162,109.49,-1.3692059312019929,0.5396826496836862,142.41863953694087,-95.51188905696023,-0.06000000000000005,0.1,-0.0,172.3486501473683
163,110.53,-0.6325287615590884,0.3732277124312945,66.41773381436974,-29.09415524259049,-0.06000000000000005,0.1,-0.0,172.3486501473683
164,110.0,-1.9280678137501215,0.09999999999999998,108.49872460646705,79.40456936387656,-0.06000000000000005,0.1,-0.0,172.3486501473683
165,109.0,-1.7924988958392456,0.09999999999999998,-0.0,79.40456936387656,-0.06000000000000005,0.1,-0.0,172.3486501473683
166,102.47,-1.5690849749401408,0.09999999999999998,-0.0,79.40456936387656,-1.06,0.1,-0.0,172.3486501473683
167,93.8,-1.8014670608991832,0.09999999999999998,-0.0,79.40456936387656,-0.15999999999999992,0.1,-0.0,172.3486501473683
168,87.6,-1.5450559147202574,0.09999999999999998,-0.0,79.40456936387656,-1.56,0.1,-0.0,172.3486501473683
169,85.28,0.5140469450262728,0.22208614944373978,-43.83792347184055,35.566645892036014,-1.56,0.1,-0.0,172.3486501473683
170,85.28,-0.9447037007914347,0.09999999999999999,37.58553963666928,73.1521855287053,-0.15999999999999992,0.1,-0.0,172.3486501473683
171,90.79,-0.9712454698958459,0.09999999999999999,-0.0,73.1521855287053,-0.15999999999999992,0.1,-0.0,172.3486501473683
172,93.8,-0.689121531566828,0.09999999999999999,-0.0,73.1521855287053,-1.82,0.1,-0.0,172.3486501473683
173,90.79,-1.6451797226494347,0.09999999999999999,-0.0,73.1521855287053,-1.04,0.1,-0.0,172.3486501473683
174,107.46,0.17572242532770455,0.14173407601532984,-18.88313182571513,54.26905370299018,-0.54,0.1,-0.0,172.3486501473683
175,114.18,-1.2620086588781239,0.1,17.2023604459436,71.47141414893377,-1.04,0.1,-0.0,172.3486501473683
176,125.5,-0.06090783632675434,0.1,-0.0,71.47141414893377,-1.82,0.1,-0.0,172.3486501473683
177,123.0,0.5617451768233566,0.2334144794955472,-69.09465674927286,2.3767573996609173,-0.43999999999999995,0.1,-0.0,172.3486501473683
178,115.38,0.43436380314752254,0.3365758827430838,-50.11689560716115,-47.74013820750023,-0.41999999999999993,0.1,-0.0,172.3486501473683
179,112.22,-1.5092753497217655,0.1,95.84024947675819,48.10011126925796,-1.4,0.1,-0.0,172.3486501473683
180,108.55,1.1328496847906067,0.36905180013776906,-122.97083328402034,-74.87072201476238,-1.4,0.1,-0.0,172.3486501473683
181,108.3,1.7452681820039975,0.7835529933637184,-189.01254411103292,-263.88326612579533,-1.4,0.1,-0.0,172.3486501473683
182,110.97,1.9719373876619835,0.9,-54.40894453232914,-318.2922106581245,-1.4,0.1,-0.0,172.3486501473683
183,115.2,0.32283039979700234,0.9,-0.0,-318.2922106581245,-1.18,0.1,-0.0,172.3486501473683
184,122.00169,1.6449786161222901,0.9,-0.0,-318.2922106581245,-1.18,0.1,-0.0,172.3486501473683
185,130.1,-1.673368266578493,0.45963992984776497,206.81995090776883,-111.47225975035565,-1.18,0.1,-0.0,172.3486501473683
186,129.99382,0.1170442376449734,0.48743793628844617,-15.215027560457896,-126.68728731081355,-1.18,0.1,-0.0,172.3486501473683
187,122.0095,-1.5701652159025752,0.10000000000000003,170.64870308418244,43.9614157733689,-1.4,0.1,-0.0,172.3486501473683
188,114.18,-1.5586570104561392,0.10000000000000003,-0.0,43.9614157733689,-1.18,0.1,-0.0,172.3486501473683
189,107.46,0.6868930675867961,0.26313710355186415,-73.81352904287711,-29.85211326950821,-1.4,0.1,-0.0,172.3486501473683
190,102.9,-1.014414550493611,0.1,60.60037671930742,30.74826344979921,-1.18,0.1,-0.0,172.3486501473683
191,91.75,-1.0702633048980683,0.1,-0.0,30.74826344979921,-1.4,0.1,-0.0,172.3486501473683
192,87.5315,0.47141647488908855,0.21196141278615854,-41.26379117175425,-10.515527721955038,-1.9,0.1,-0.0,172.3486501473683
193,86.18151,-0.06896038819802497,0.1938139422077309,5.645954865837372,-4.869572856117666,-1.3399999999999999,0.1,-0.0,172.3486501473683
194,85.00494,0.9608952437601026,0.4220265626007553,-81.6808425421129,-86.55041539823057,-1.04,0.1,-0.0,172.3486501473683
195,84.08453,0.7076476491229409,0.5900928792674537,-59.5022199821074,-146.05263538033796,-1.04,0.1,-0.0,172.3486501473683
196,84.97701,-1.1378661862580262,0.29065440919955204,91.85784297389465,-54.19479240644331,-0.43999999999999995,0.1,-0.0,172.3486501473683
197,89.34054,0.6130996569989038,0.4362655777367917,-54.774654430096845,-108.96944683654016,-0.54,0.1,-0.0,172.3486501473683
198,106.76125,0.6707250348603844,0.595562773516133,-71.60744312798822,-180.5768899645284,-1.04,0.1,-0.0,172.3486501473683
199,117.98,1.9018036821924462,0.9,-151.231595707649,-331.8084856721774,-0.43999999999999995,0.1,-0.0,172.3486501473683
200,131.3728,-1.653772493065687,0.464796712351135,206.39768682816887,-125.41079884400855,-1.04,0.1,-0.0,172.3486501473683
201,120.78817,-1.8274934315722708,0.10000000000000003,159.06788957794507,33.65709073393651,-1.04,0.1,-0.0,172.3486501473683
202,112.1,-0.6394560203119628,0.10000000000000003,-0.0,33.65709073393651,-1.66,0.1,-0.0,172.3486501473683
203,104.97006,-1.6664151633524789,0.10000000000000003,-0.0,33.65709073393651,-1.04,0.1,-0.0,172.3486501473683
204,100.37,0.7009889588755689,0.2664848777329476,-70.35826180234085,-36.701171068404335,-1.18,0.1,-0.0,172.3486501473683
205,100.82,0.3050024607809956,0.33892296216843404,-30.750348095939973,-67.4515191643443,-1.68,0.1,-0.0,172.3486501473683
206,110.0,0.16048025116918474,0.3770370218211154,-17.65282762861032,-85.10434679295463,-1.68,0.1,-0.0,172.3486501473683
207,116.55,-0.49248867875512436,0.24743473793818796,54.52957773346425,-30.57476905949038,-1.68,0.1,-0.0,172.3486501473683
208,127.36267,-0.14034187789864028,0.21050266480696683,16.980600467885573,-13.594168591604806,-1.4,0.1,-0.0,172.3486501473683
209,137.35078,-1.426545962535053,0.1,54.79123420396874,41.197065612363936,-1.4,0.1,-0.0,172.3486501473683
210,137.00435,-0.11521427193661005,0.1,-0.0,41.197065612363936,-1.4,0.1,-0.0,172.3486501473683
211,130.05,-0.4326676177884421,0.1,-0.0,41.197065612363936,-1.68,0.1,-0.0,172.3486501473683
212,117.67376,-0.05746525602378583,0.1,-0.0,41.197065612363936,-1.18,0.1,-0.0,172.3486501473683
213,111.0525,-1.293454485207898,0.1,-0.0,41.197065612363936,-1.4,0.1,-0.0,172.3486501473683
214,105.61,1.5683050914536873,0.4724724592202507,-165.6287007084239,-124.43163509605998,-1.4,0.1,-0.0,172.3486501473683
