Ora,Prezzo_Vero,PSO_Azione,PSO_SOC,PSO_Profitto_Istantaneo,PSO_Profitto_Cum,PPO_Azione,PPO_SOC,PPO_Profitto_Istantaneo,PPO_Profitto_Cum
7141,109.10464,0.8956450811230976,0.9,-94.3122090946223,-2090.3441752937397,-1.5,0.09999999999999998,-0.0,1618.4308212307196
7142,113.11674,1.9476331620755243,0.9,-0.0,-2090.3441752937397,-1.96,0.09999999999999998,-0.0,1618.4308212307196
7143,114.82491,0.490133847570541,0.9,-0.0,-2090.3441752937397,-1.96,0.09999999999999998,-0.0,1618.4308212307196
7144,133.72966,0.9158146589781886,0.9,-0.0,-2090.3441752937397,-1.96,0.09999999999999998,-0.0,1618.4308212307196
7145,150.94142,1.8130490528589491,0.9,-0.0,-2090.3441752937397,-1.96,0.09999999999999998,-0.0,1618.4308212307196
7146,158.55966,1.203751222518108,0.9,-0.0,-2090.3441752937397,-1.96,0.09999999999999998,-0.0,1618.4308212307196
7147,131.11778,0.440640109133994,0.9,-0.0,-2090.3441752937397,-1.2,0.09999999999999998,-0.0,1618.4308212307196
7148,116.56342,-1.0541812742088728,0.6225838752081914,116.73502589065679,-1973.609149403083,-1.2,0.09999999999999998,-0.0,1618.4308212307196
7149,119.32595,-1.4162865929355646,0.2498768770672533,160.54975601558456,-1813.0593933874984,-0.3999999999999999,0.09999999999999998,-0.0,1618.4308212307196
7150,109.10238,-0.6249457680269455,0.09999999999999998,59.03044562196716,-1754.0289477655313,-0.30000000000000004,0.09999999999999998,-0.0,1618.4308212307196
7151,105.27695,-1.4550474105937208,0.09999999999999998,-0.0,-1754.0289477655313,-1.96,0.09999999999999998,-0.0,1618.4308212307196
7152,99.6961,1.5429603071457079,0.4664530729471056,-153.8271250772292,-1907.8560728427606,-0.5999999999999999,0.09999999999999998,-0.0,1618.4308212307196
7153,98.71926,1.2789549193654275,0.7702048662963946,-126.25748321311468,-2034.1135560558753,-0.5999999999999999,0.09999999999999998,-0.0,1618.4308212307196
7154,98.67664,1.381957717546832,0.9,-53.927358661989636,-2088.040914717865,-0.5999999999999999,0.09999999999999998,-0.0,1618.4308212307196
7155,98.72814,1.408988133993172,0.9,-0.0,-2088.040914717865,-1.38,0.09999999999999998,-0.0,1618.4308212307196
7156,97.891,-0.3985814747427612,0.7951101382255892,37.06666218684145,-2050.9742525310235,-1.26,0.09999999999999998,-0.0,1618.4308212307196
7157,118.85422,0.1103557255717944,0.8213196230488904,-13.116243685369678,-2064.090496216393,-0.28,0.09999999999999998,-0.0,1618.4308212307196
7158,144.43699,0.32601287079469055,0.8987476798626294,-47.08831775884401,-2111.178813975237,-1.68,0.09999999999999998,-0.0,1618.4308212307196
7159,162.861,1.6185500239851724,0.8987476798626294,-0.0,-2111.178813975237,-0.5,0.09999999999999998,-0.0,1618.4308212307196
7160,145.1,-1.8481986422166945,0.41237961612139395,254.76494183636024,-1856.4138721388767,-0.5,0.09999999999999998,-0.0,1618.4308212307196
7161,128.68448,1.539637008802917,0.7780434057120867,-198.12738786655882,-2054.5412600054356,-0.28,0.09999999999999998,-0.0,1618.4308212307196
7162,120.77654,0.8726083654221171,0.9,-62.01892837169655,-2116.560188377132,-0.28,0.09999999999999998,-0.0,1618.4308212307196
7163,115.39803,1.0820078328525828,0.9,-0.0,-2116.560188377132,-1.5,0.09999999999999998,-0.0,1618.4308212307196
7164,112.0295,1.0689202552078445,0.9,-0.0,-2116.560188377132,-1.5,0.09999999999999998,-0.0,1618.4308212307196
7165,114.44188,-1.639491932450814,0.46855475461820684,178.24521204477895,-1938.314976332353,-0.28,0.09999999999999998,-0.0,1618.4308212307196
7166,115.38237,-0.5209515065950061,0.33146225288267894,57.10318851170231,-1881.2117878206507,-1.96,0.09999999999999998,-0.0,1618.4308212307196
7167,122.09768,-0.3202129154951323,0.2471956961734336,37.14239138359212,-1844.0693964370585,-1.3599999999999999,0.09999999999999998,-0.0,1618.4308212307196
7168,134.2183,-0.45849220887781383,0.12653985173190363,58.461142596883825,-1785.6082538401747,-1.3599999999999999,0.09999999999999998,-0.0,1618.4308212307196
7169,155.54274,-1.467389247224966,0.1,14.902373339842267,-1770.7058805003323,-1.96,0.09999999999999998,-0.0,1618.4308212307196
7170,160.99789,-0.01963163673715851,0.1,-0.0,-1770.7058805003323,-1.96,0.09999999999999998,-0.0,1618.4308212307196
7171,132.50058,-1.1610597923160042,0.1,-0.0,-1770.7058805003323,-0.5999999999999999,0.09999999999999998,-0.0,1618.4308212307196
7172,118.46404,-0.8954263935983713,0.1,-0.0,-1770.7058805003323,-0.19999999999999996,0.09999999999999998,-0.0,1618.4308212307196
7173,113.55,-0.9501729219588433,0.1,-0.0,-1770.7058805003323,-0.5999999999999999,0.09999999999999998,-0.0,1618.4308212307196
7174,108.3,-1.3407833239282767,0.1,-0.0,-1770.7058805003323,-0.5999999999999999,0.09999999999999998,-0.0,1618.4308212307196
7175,118.57,0.2664452470735461,0.16328074617996718,-31.59241294551036,-1802.2982934458428,-1.8,0.09999999999999998,-0.0,1618.4308212307196
7176,109.14,0.7651168782569395,0.34499600476599035,-83.50485609296238,-1885.8031495388052,-0.5999999999999999,0.09999999999999998,-0.0,1618.4308212307196
7177,105.1,-0.0008996710580415623,0.34499600476599035,-0.0,-1885.8031495388052,-0.5999999999999999,0.09999999999999998,-0.0,1618.4308212307196
7178,104.3,1.4768864518691034,0.6957565370849024,-154.03925692994747,-2039.8424064687526,-0.54,0.09999999999999998,-0.0,1618.4308212307196
7179,101.46,-0.03038661330974346,0.6877600598981278,2.9288744970862424,-2036.9135319716663,-0.19999999999999996,0.09999999999999998,-0.0,1618.4308212307196
7180,101.46,1.9374510523534285,0.9,-90.66890241151981,-2127.582434383186,-0.74,0.09999999999999998,-0.0,1618.4308212307196
7181,111.46,0.13247572381203643,0.9,-0.0,-2127.582434383186,-1.26,0.09999999999999998,-0.0,1618.4308212307196
7182,118.91195,-1.9134839856207444,0.39645158273138303,216.15930642273796,-1911.423127960448,-1.68,0.09999999999999998,-0.0,1618.4308212307196
7183,135.93,-0.8036674109416833,0.18496015879936112,103.78038561083785,-1807.6427423496102,-1.12,0.09999999999999998,-0.0,1618.4308212307196
7184,130.39,-1.7564510248720708,0.1,39.991417932113784,-1767.6513244174964,-0.74,0.09999999999999998,-0.0,1618.4308212307196
7185,115.0,1.4950116682136358,0.4550652712007385,-171.92634184456813,-1939.5776662620647,-1.08,0.09999999999999998,-0.0,1618.4308212307196
7186,110.0,0.15088016352162814,0.49089931003712517,-16.596817987379097,-1956.1744842494438,-1.56,0.09999999999999998,-0.0,1618.4308212307196
7187,98.79,-0.0158467956368904,0.4867291006589961,1.4872296939199823,-1954.6872545555239,-1.3599999999999999,0.09999999999999998,-0.0,1618.4308212307196
7188,90.9,0.7403646618174928,0.6625657078406506,-67.2991477592101,-2021.986402314734,-1.56,0.09999999999999998,-0.0,1618.4308212307196
7189,88.79,-0.8903555382348491,0.4282616188314798,75.10193482787864,-1946.8844674868553,-1.5,0.09999999999999998,-0.0,1618.4308212307196
7190,95.28,1.3843870783872916,0.7570535499484615,-131.90440082874113,-2078.7888683155966,-1.56,0.09999999999999998,-0.0,1618.4308212307196
7191,110.0,1.1226305562665395,0.9,-66.20677686597573,-2144.9956451815724,-1.3599999999999999,0.09999999999999998,-0.0,1618.4308212307196
7192,130.98011,-0.8842835573458978,0.6672938006984479,110.03237973173914,-2034.9632654498332,-1.96,0.09999999999999998,-0.0,1618.4308212307196
7193,153.78303,-1.0624728071164489,0.3876956935625403,155.22077319242442,-1879.7424922574087,-1.3599999999999999,0.09999999999999998,-0.0,1618.4308212307196
7194,151.95105,-1.1600007944128903,0.09999999999999998,157.81354240947553,-1721.9289498479332,-1.96,0.09999999999999998,-0.0,1618.4308212307196
7195,127.5217,-0.5627780924410755,0.09999999999999998,-0.0,-1721.9289498479332,-0.54,0.09999999999999998,-0.0,1618.4308212307196
7196,119.25158,-1.0450008500273236,0.09999999999999998,-0.0,-1721.9289498479332,-0.5999999999999999,0.09999999999999998,-0.0,1618.4308212307196
7197,111.46,-1.7285575499013892,0.09999999999999998,-0.0,-1721.9289498479332,-1.4,0.09999999999999998,-0.0,1618.4308212307196
7198,105.0,-1.7647819682819237,0.09999999999999998,-0.0,-1721.9289498479332,-0.54,0.09999999999999998,-0.0,1618.4308212307196
7199,97.71,-1.1668220331335712,0.09999999999999998,-0.0,-1721.9289498479332,-1.8,0.09999999999999998,-0.0,1618.4308212307196
